sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"The 2022 Sustainability Report is our fifth report detailing progress against our targets, commitments, and environmental, social, and governance topics.",2,About This Report,other,,2022,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"AWS can lower customers’ workload carbon footprints by nearly 80% versus on-premises computing workload, and we expect that number to increase once AWS is fully powered by renewable energy.",3,Opening Letter From Kara Hurst,other,,80%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Amid unprecedented droughts around the world, we committed that by 2030, AWS data centers will return more water to communities than they use in their direct operations.",3,Opening Letter From Kara Hurst,target,firm,"2030,",,2030,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Scaling our positive impact is underpinned by The Climate Pledge—a commitment to be net-zero carbon by 2040—which we co-founded in 2019.,3,Opening Letter From Kara Hurst,target,firm,2040,2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
"More than 390 companies across 36 countries signed the Pledge by the end of 2022, and we are determined to keep bringing on new partners to help combat climate change.",3,Opening Letter From Kara Hurst,target,firm,390,,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We’ll also use our scale, investment, and innovation to date to provide our suppliers with products and tools that will help them reach their goals—whether those are transitioning to renewable energy or increasing access to sustainable materials.",3,Opening Letter From Kara Hurst,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
The approximately 1.5 million people in Amazon’s global workforce are the key behind our successes—from enabling global fulfillment to delivering on sustainability initiatives.,4,Our Employees,other,,1.5 million,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Reach net-zero carbon emissions across Amazon by 2040.,6,Goals Summary > Goal 2022 Progress Status,target,,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Through The Climate Pledge, inspire and empower others to join us on a mission to reach net-zero carbon emissions by 2040.",6,Goals Summary > Goal 2022 Progress Status,target,firm,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Power our operations with 100% renewable energy by 2030.,6,Goals Summary > Renewable Energy,target,,100%,,2030,own operations,0.75,data/raw/amazon/2022_sustainability_report.pdf
"Invest in wind and solar farm capacity equal to the energy use of Echo, Fire TV, and Ring devices worldwide by 2025.",6,Goals Summary > Renewable Energy,target,,,,2025,,0.25,data/raw/amazon/2022_sustainability_report.pdf
Make Amazon device packaging 100% recyclable by 2023.,6,Goals Summary > Renewable Energy,target,,100%,,2023,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Reduce food waste by 50% across U.S. and Europe operations by 2030.,6,Goals Summary > Renewable Energy,target,,50%,,2030,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Achieve water positivity for Amazon Web Services by 2030.,6,Goals Summary > Renewable Energy,target,,,,2030,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"We aim to reach net-zero carbon emissions by 2040 by investing in renewable energy, scaling solutions across our operations, and collaborating with partners to broaden our impact.",8,Driving Climate Solutions,target,hedged,2040,2040,2040,own operations,1.0,data/raw/amazon/2022_sustainability_report.pdf
