sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional,company,publish_year,report_assured,n_words,vague_ratio,hedging_ratio,future_ratio,quantification_present,baseline_present,date_present,scope_present,verification_present,sentiment,specificity_score,readability,passive_voice,modal_firm,modal_soft,positive_tone_words,highlights_json
"These companies’ solutions are now being scaled up and by investing early, we have secured access to these innovative sustainable materials.",4,CEO letter > CEO letter,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,21,0.0,0.0,0.0,False,False,False,False,False,0.0476,0.0,28.4,True,False,False,1,"[{""start"": 107, ""end"": 117, ""kind"": ""positive"", ""term"": ""innovative""}]"
Tripled the share of recycled materials used in our garments from 5.8 percent to 17.9 percent towards our goal 30 percent recycled materials by 2025.,6,H&M Group at a glance,target,,5.8 percent,,2025,,0.5,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,21,0.0,0.0,0.0676,True,False,True,False,False,0.0,0.4,54.7,False,False,False,0,"[{""start"": 66, ""end"": 77, ""kind"": ""qty"", ""term"": ""5.8 percent""}, {""start"": 144, ""end"": 148, ""kind"": ""deadline"", ""term"": ""2025""}]"
"United by our values, we have an ambition to lead the change towards a circular and climate positive fashion industry, while being a fair and equal company.",7,billion SEK in cash flow from operating activities. 45,target,hedged,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,27,0.0,0.0,0.037,False,False,False,False,False,0.037,0.0,41.6,False,False,False,1,"[{""start"": 92, ""end"": 100, ""kind"": ""positive"", ""term"": ""positive""}]"
"We joined the 2025 Recycled Polyester ­Challenge, a UN and Textile Exchange initiative for climate action.",13,Sales and stores per segment,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,15,0.0,0.0,0.0,False,False,False,False,False,-0.0667,0.0,33.7,False,False,False,0,"[{""start"": 39, ""end"": 48, ""kind"": ""negative"", ""term"": ""Challenge""}]"
We have set a leading individual goal to only use recycled polyester by 2025 and to further scale up textile-to-textile recycling.,13,Sales and stores per segment,target,,,,2025,,0.25,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,20,0.05,0.0,0.07,False,False,True,False,False,0.05,0.0,30.0,False,False,False,1,"[{""start"": 14, ""end"": 21, ""kind"": ""vague"", ""term"": ""leading""}, {""start"": 72, ""end"": 76, ""kind"": ""deadline"", ""term"": ""2025""}]"
Textile Exchange named H&M Group as a leading company within fibre and material sourcing in its report Material Change which is one of the most extensive analyses of how the textile industry is progressing in its transition to more sustainable materials and a circular economy.,14,Sales and stores per segment > Leading company within fibre,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,46,0.0217,0.0,0.0,False,False,False,False,False,0.0435,0.0,13.0,False,False,False,2,"[{""start"": 38, ""end"": 45, ""kind"": ""vague"", ""term"": ""leading""}]"
"The Looop machine transforms old clothes into new garments, thereby showing customers how old textiles can be recycled without using water or chemicals.",14,Sales and stores per segment > Looop machine,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,23,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,29.0,True,False,False,0,[]
"Our EUR 500 million sustainability-linked bond (SLB) was amongst other things launched to contribute to our goal to reduce carbon emissions (scope 1,2 and 3) in absolute figures by 56 percent by 2030 (baseline 2019).",14,Sales and stores per segment > Sustainability-linked bond,target,hedged,500 million,,2030,Scope 1,0.75,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,29,0.0,0.0,0.089,True,False,True,True,False,0.0,0.6,22.8,False,False,False,0,"[{""start"": 8, ""end"": 19, ""kind"": ""qty"", ""term"": ""500 million""}, {""start"": 195, ""end"": 199, ""kind"": ""deadline"", ""term"": ""2030""}]"
The bond’s interest rate is tied to how well we succeed at using recycled materials and reducing greenhouse gas ­emissions.,14,Sales and stores per segment > Sustainability-linked bond,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,21,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,48.5,True,False,False,0,[]
In late 2021 we launched the innovative circular design tool “Circulator” to underline our ambition to design all our products for circularity by 2025.,17,Customer in focus > Our fashion and design,target,hedged,,,2025,,0.25,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,22,0.0,0.0,0.0655,False,False,True,False,False,0.0455,0.2,23.0,False,False,False,1,"[{""start"": 29, ""end"": 39, ""kind"": ""positive"", ""term"": ""innovative""}, {""start"": 146, ""end"": 150, ""kind"": ""deadline"", ""term"": ""2025""}]"
Monki is a purpose-driven fashion brand that believes in sisterhood and the power of community and in contributing to a more sustainable fashion industry.,22,& Other Stories,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,24,0.0,0.0833,0.0,False,False,False,False,False,0.0,0.0,20.3,False,False,False,0,"[{""start"": 45, ""end"": 53, ""kind"": ""hedge"", ""term"": ""believes""}]"
"Through our work to lead the change towards circular and climate positive fashion, we are increasing the share of recycled and more sustainably sourced materials and we are ­developing new revenue streams.",24,Our omni-model elevates the customer experience,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,32,0.0,0.0,0.0,False,False,False,False,False,0.0312,0.0,31.6,False,False,False,1,"[{""start"": 65, ""end"": 73, ""kind"": ""positive"", ""term"": ""positive""}]"
First Hand: Our brands offer customers garments that are made from recycled and more sustainably sourced materials and are designed using a circular design and product development process.,25,Our omni-model elevates the customer experience,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf,False,False,hm,2021,False,28,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,24.3,True,False,False,0,[]
