sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"AWS can lower customers’ workload carbon footprints by nearly 80% versus on-premises computing workload, and we expect that number to increase once AWS is fully powered by renewable energy.",3,Opening Letter From Kara Hurst,other,,80%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Amid unprecedented droughts around the world, we committed that by 2030, AWS data centers will return more water to communities than they use in their direct operations.",3,Opening Letter From Kara Hurst,target,firm,"2030,",,2030,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Scaling our positive impact is underpinned by The Climate Pledge—a commitment to be net-zero carbon by 2040—which we co-founded in 2019.,3,Opening Letter From Kara Hurst,target,firm,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"More than 390 companies across 36 countries signed the Pledge by the end of 2022, and we are determined to keep bringing on new partners to help combat climate change.",3,Opening Letter From Kara Hurst,target,firm,390,,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We’ll also use our scale, investment, and innovation to date to provide our suppliers with products and tools that will help them reach their goals—whether those are transitioning to renewable energy or increasing access to sustainable materials.",3,Opening Letter From Kara Hurst,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
Reach net-zero carbon emissions across Amazon by 2040.,6,Goals Summary > Goal 2022 Progress Status,target,,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Through The Climate Pledge, inspire and empower others to join us on a mission to reach net-zero carbon emissions by 2040.",6,Goals Summary > Goal 2022 Progress Status,target,firm,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Power our operations with 100% renewable energy by 2030.,6,Goals Summary > Renewable Energy,target,,100%,,2030,own operations,0.75,data/raw/amazon/2022_sustainability_report.pdf
"Invest in wind and solar farm capacity equal to the energy use of Echo, Fire TV, and Ring devices worldwide by 2025.",6,Goals Summary > Renewable Energy,target,,,,2025,,0.25,data/raw/amazon/2022_sustainability_report.pdf
Make Amazon device packaging 100% recyclable by 2023.,6,Goals Summary > Renewable Energy,target,,100%,,2023,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Reduce food waste by 50% across U.S. and Europe operations by 2030.,6,Goals Summary > Renewable Energy,target,,50%,,2030,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Achieve water positivity for Amazon Web Services by 2030.,6,Goals Summary > Renewable Energy,target,,,,2030,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"We aim to reach net-zero carbon emissions by 2040 by investing in renewable energy, scaling solutions across our operations, and collaborating with partners to broaden our impact.",8,Driving Climate Solutions,target,hedged,,2040,2040,own operations,0.75,data/raw/amazon/2022_sustainability_report.pdf
"That’s why we co-founded The Climate Pledge, a goal to be net-zero carbon by 2040—10 years ahead of the Paris Agreement.",9,Innovating Our Products and Services > Driving Climate Solutions Carbon,target,firm,10,2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
"That’s exactly how we approach our carbon-emissions reduction: by making a big bet to reach net-zero carbon 10 years ahead of the Paris Agreement, then inventing new approaches across our business that will help us get there—all while maintaining the speed, convenience, and reliability that customers expect from Amazon.",10,Our Approach,attribute,firm,10,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We are investing in breakthrough technology, including promising early-stage decarbonization technology that we back through our $2 billion Climate Pledge Fund.",10,Our Approach,target,firm,2 billion,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"They join a community of signatories totaling more than 390 at the end of 2022, all committed to reaching net-zero carbon by 2040, which will have a significant positive impact on the planet.",10,Our Approach,target,firm,390,2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
