sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"This year, we reflect on our progress towards our ambitious 2030 goals: to be carbon negative, water positive, and zero waste, while protecting ecosystems.",2,In this report,attribute,,,,,,0.0,data/raw/microsoft/2024_sustainability_report.pdf
"This year, we reflect on our progress towards our ambitious 2030 goals: to be carbon negative, water positive, and zero waste, while protecting ecosystems.",4,Accelerating progress to 2030,attribute,,,,,,0.0,data/raw/microsoft/2024_sustainability_report.pdf
"We are sharing details about the progress made in each of our core commitment areas: carbon negative, water positive, zero waste, and protecting ecosystems.",4,Accelerating progress to 2030,attribute,firm,,,,,0.0,data/raw/microsoft/2024_sustainability_report.pdf
We exceeded our annual target to divert 75% of construction and demolition waste six years early by diverting 85% of this waste in FY24.,4,Accelerating progress to 2030 > Our progress,achievement,achievement,75%,,,,0.33,data/raw/microsoft/2024_sustainability_report.pdf
"We have also surpassed our target for our reuse and recycling rate for servers and components, reaching 90.9%.",4,Accelerating progress to 2030 > Our progress,achievement,achievement,90.9%,,,,0.33,data/raw/microsoft/2024_sustainability_report.pdf
"Packaging from over 30,000 server racks was processed through recycling programs in FY24—diverting over 2,500 metric tons of waste from landfills.",4,Accelerating progress to 2030 > Our progress,other,,"2,500 metric tons",,,,0.5,data/raw/microsoft/2024_sustainability_report.pdf
We met our target to provide more than 1.5 million people with clean water and sanitation solutions.,4,Accelerating progress to 2030 > Our progress,other,,1.5 million,,,,0.5,data/raw/microsoft/2024_sustainability_report.pdf
"To date, we have contracted 34 gigawatts (GW) of carbon-free electricity (CFE) across 24 countries, about an eighteenfold increase since 2020.",4,Accelerating progress to 2030 > Our progress,attribute,,34,,,,0.5,data/raw/microsoft/2024_sustainability_report.pdf
We have also entered long-term agreements to procure nearly 30 million metric tons of carbon removal since the start of this program.,4,Accelerating progress to 2030 > Our progress,other,,30 million,,,,0.5,data/raw/microsoft/2024_sustainability_report.pdf
"As we remain focused on sustained progress towards our 2030 goals, it has become clear that our journey towards being carbon negative is a marathon, not a sprint.",5,"Accelerating progress to 2030 > Carbon negative: a marathon, not a sprint",attribute,,,,,,0.0,data/raw/microsoft/2024_sustainability_report.pdf
"For Microsoft to be carbon negative by 2030, we will need to reduce our value chain emissions.",5,"Accelerating progress to 2030 > Carbon negative: a marathon, not a sprint",target,firm,"2030,",2030,2030,value chain,1.0,data/raw/microsoft/2024_sustainability_report.pdf
This enabled us to decrease our Scope 1 and 2 emissions by 29.9% from our 2020 baseline in FY24.,5,"Accelerating progress to 2030 > Carbon negative: a marathon, not a sprint",other,,29.9%,2020,,Scope 1,1.0,data/raw/microsoft/2024_sustainability_report.pdf
"We are also implementing strategies to reduce our Scope 3 emissions by 2030, which increased in FY24 by 26% from our 2020 baseline.",5,"Accelerating progress to 2030 > Carbon negative: a marathon, not a sprint",target,,26%,2020,2030,Scope 3,1.0,data/raw/microsoft/2024_sustainability_report.pdf
"Through the latter, select large-scale Microsoft suppliers are required to transition to 100% carbonfree electricity for their delivered goods and services as well as forthcoming guidance, launching in July, to target usage of sustainable aviation fuel, where possible, for Microsoft business-related air travel by 2030.",5,"Accelerating progress to 2030 > Carbon negative: a marathon, not a sprint",target,achievement,100%,,2030,,0.5,data/raw/microsoft/2024_sustainability_report.pdf
