sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional,company,publish_year,report_assured,n_words,vague_ratio,hedging_ratio,future_ratio,quantification_present,baseline_present,date_present,scope_present,verification_present,sentiment,specificity_score,readability,passive_voice,modal_firm,modal_soft,positive_tone_words,highlights_json
"Our first annual sustainability report, released in January 2021, showed early progress on our commitments to become a carbon negative, water positive, zero waste company by 2030 and protect ecosystems by building a Planetary Computer.",4,metric tons of waste diverted from landfills 24 > Microsoft’s sustainability commitments: two years into our ten-year journey,target,,"2021,",,2030,,0.5,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,33,0.0,0.0,0.1109,True,False,True,False,False,0.0606,0.4,-3.6,False,False,False,2,"[{""start"": 60, ""end"": 65, ""kind"": ""qty"", ""term"": ""2021,""}, {""start"": 79, ""end"": 87, ""kind"": ""positive"", ""term"": ""progress""}, {""start"": 142, ""end"": 150, ""kind"": ""positive"", ""term"": ""positive""}, {""start"": 174, ""end"": 178, ""kind"": ""deadline"", ""term"": ""2030""}]"
"However, as our business has grown and we’ve seen increased use of our devices and cloud services, our total Scope 3 emissions (comprising the company’s entire value chain) have increased by about 23 percent year-over-year.",4,metric tons of waste diverted from landfills 24 > A closer look at 2021,other,,23 percent,,,Scope 3; value chain,1.0,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,35,0.0,0.0286,0.0,True,False,False,True,False,0.0,0.286,23.9,False,False,False,0,"[{""start"": 191, ""end"": 196, ""kind"": ""hedge"", ""term"": ""about""}, {""start"": 197, ""end"": 207, ""kind"": ""qty"", ""term"": ""23 percent""}]"
The emissions associated with the capital equipment category accounted for about 30 percent of our Scope 3 total this year.,4,metric tons of waste diverted from landfills 24 > A closer look at 2021,other,,30 percent,,,Scope 3,1.0,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,18,0.0,0.0556,0.0,True,False,False,True,False,0.0,0.178,24.1,False,False,False,0,"[{""start"": 75, ""end"": 80, ""kind"": ""hedge"", ""term"": ""about""}, {""start"": 81, ""end"": 91, ""kind"": ""qty"", ""term"": ""30 percent""}]"
This category accounted for about 29 percent of our Scope 3 total this year.,4,metric tons of waste diverted from landfills 24 > A closer look at 2021,other,,29 percent,,,Scope 3,1.0,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,12,0.0,0.0833,0.0,True,False,False,True,False,0.0,0.1,53.7,False,False,False,0,"[{""start"": 28, ""end"": 33, ""kind"": ""hedge"", ""term"": ""about""}, {""start"": 34, ""end"": 44, ""kind"": ""qty"", ""term"": ""29 percent""}]"
"Nonetheless, the challenge remains: we must continuously improve on our efforts to decouple our emissions from our growth until we reach our carbon negative commitment in 2030.",4,metric tons of waste diverted from landfills 24 > The journey to net zero,attribute,firm,,,,,0.0,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,26,0.0,0.0,0.0385,False,False,False,False,False,-0.0385,0.0,34.0,False,True,False,0,"[{""start"": 17, ""end"": 26, ""kind"": ""negative"", ""term"": ""challenge""}]"
"Some of this will happen through the completion of specific goals such as our shift to a 100 percent electric campus vehicle fleet, our move away from diesel fuel as a backup energy source for our datacenters, and the carbon benefits of our waste reduction improvements due to our expanding fleet of Circular Centers.",4,metric tons of waste diverted from landfills 24 > The journey to net zero,other,firm,100 percent,,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,53,0.0,0.0,0.0377,True,False,False,False,False,0.0,0.2,19.0,False,True,False,0,"[{""start"": 89, ""end"": 100, ""kind"": ""qty"", ""term"": ""100 percent""}]"
There are several external factors or bugs in the world’s net zero carbon program that if addressed will help us all make greater progress toward our net zero goals.,5,Foreword (continued),attribute,firm,,,,,0.0,data/raw/microsoft/2021_sustainability_report.pdf,False,True,microsoft,2021,False,30,0.0333,0.0,0.0667,False,False,False,False,False,0.0333,0.0,52.3,False,True,False,1,"[{""start"": 10, ""end"": 17, ""kind"": ""vague"", ""term"": ""several""}, {""start"": 130, ""end"": 138, ""kind"": ""positive"", ""term"": ""progress""}]"
"The world lacks a common meaning of the term net zero and a common unit of measurement for assessing the climate impact of various net zero approaches, and we must all focus on maturing the markets needed to achieve a net zero carbon economy by 2050.",5,Foreword (continued),target,firm,,2050,2050,,0.5,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,45,0.0222,0.0,0.0422,False,True,True,False,False,0.0,0.311,25.8,False,True,False,0,"[{""start"": 123, ""end"": 130, ""kind"": ""vague"", ""term"": ""various""}, {""start"": 245, ""end"": 249, ""kind"": ""baseline"", ""term"": ""2050""}]"
You can only get to net zero when you’ve reduced all that you can and your remaining carbon emissions are completely balanced by long-term carbon removal.,5,Foreword (continued),attribute,achievement,,,,,0.0,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,27,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,38.4,True,False,False,0,[]
"Last year, we made the world’s largest purchase of carbon removal at 1.4 million metric tons and in this fiscal year we are on track to top that by procuring 1.5 million metric tons.",5,Foreword (continued),other,,1.4 million,,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf,False,False,microsoft,2021,False,33,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,80.3,False,False,False,0,"[{""start"": 69, ""end"": 80, ""kind"": ""qty"", ""term"": ""1.4 million""}]"
