sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"We are now concentrating them on the five areas we believe are most relevant to the long-term success of our businesses: net zero operations, net zero sales, people, biodiversity and water.",3,Simplifying and focusing,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"In 2024 our operational Scope 1 and 2 emissions were 38% lower compared with 2019 levels, including reductions from divestments and emissions reduction activities.",3,Introduction from our chief executive officer > Sustainability in 2024,other,,38%,2019,,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"We continued to optimize our portfolio, giving the go-ahead to two green hydrogen projects linked to our refineries.",3,Introduction from our chief executive officer > Sustainability in 2024,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"And with our partners, we reached financial close on two major projects in Teesside, UK: the Northern Endurance Partnership carbon capture and storage cluster, and the Net Zero Teesside Power project.",3,Introduction from our chief executive officer > Sustainability in 2024,attribute,achievement,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our net zero, people and planet aims stretched an organization already in action and helped to change how we operate.",4,"Introduction from our EVP strategy, sustainability & ventures > Progress in 2024",attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our aim is to reduce to net zero the average lifecycle carbon intensity of the energy products we sell by 2050 or sooner, enabled by supportive government policies and the decarbonization of energy demand.",4,"Introduction from our EVP strategy, sustainability & ventures > Net zero sales",target,hedged,,,2050,,0.25,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our aim is to reach net zero by 2050 or sooner for Scope 1 and 2 emissions within bp’s operational controla including by maintaining ‘near-zero’ methane intensity across our operated producing assets, enabled by supportive government policies.",4,"Introduction from our EVP strategy, sustainability & ventures > Net zero operations",target,hedged,,,2050,Scope 1,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"It is more apparent now than ever before that our progress towards our net zero ambition depends on how fast and how far society moves on policy, demand and lower carbon investment – and our updated net zero aims reflect this.",4,"Introduction from our EVP strategy, sustainability & ventures > Looking ahead – Focused aims",target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"At Redcar & Cleveland College, 41 students have now enrolled in the bp-supported Clean Energy Technician Scholarship programme.",6,Getting to net zero Improving people's lives Caring for our planet > Just transition,attribute,,41,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
We are trying to preserve and enhance this native biodiversity by creating more than 470 acres of new wetland just outside the refinery perimeter.,6,Getting to net zero Improving people's lives Caring for our planet > Enhancing biodiversity at Cherry Point refinery,other,,470 acres,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our approach to sustainability is built on strong foundations, which guide the way we work and support our sustainability frame and net zero, people and planet aims.",7,Our approach,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
The use of this technology helped bpx energy reduce driver distraction events by 89% and tailgating events by 75% between December 2023 and December 2024.,9,Advancing safety through AI,other,,89%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"For example, in the UK the energy profits levy means that we pay 75% tax (78% from 1 November 2024) on our North Sea profits.",11,Our approach > Taxes paid to governmentsb,other,,75%,2024,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
This measure covers the same Scope 1 and 2 emissions reported as part of our net zero operations aim.,12,Our approach > Linking remuneration to sustainabilitya,attribute,hedged,,,,Scope 1,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"As with the bonus scorecard, for 2025-27 we are using an absolute percentage reduction in operational emissions against our 2019 baseline as the basis for measuring progress against our net zero operations aim in our long-term scorecard.",13,Our approach > Linking remuneration to sustainabilitya,attribute,hedged,27,2019,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"We disposed of around 280kt of hazardous and non-hazardous waste from our operated businesses in 2024, a 17% increase from 2023 (2023 240kt) and we recycled or recovered around 250kt of waste, a 15% increase from 2023.",15,Our approach > Establishing community engagement around the Australian Renewable Energy Hub,attribute,,17%,2023,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Our recycling and recovery rateb was 47%.,15,Our approach > Establishing community engagement around the Australian Renewable Energy Hub,other,,47%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
In 2024 our total air emissions were 9% lower than in 2023.,16,Our approach > Find more environmental and social data: bp.com/ESGdata,other,,9%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our 2024 engagement with selected NOJV partners included focus on net zero operations, biodiversity and water scarcity.",16,Our approach > Read more about operational emissions reductions on page 18,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"For example, sustainability is one criterion in the balanced set of investment criteria against which all investment cases meeting our resource commitment meeting (RCM) threshold are tested; our net zero aims are included in group planning processes; and we have embedded sustainability considerations into our risk management process as a part of the ongoing group management of risk.",16,Sustainability in our processes,attribute,firm,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
We continued to consider some of our net zero aims in certain key group planning processes.,17,Sustainability in our processes,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our ambition is to be a net zero company by 2050 or sooner, and to help the world get to net zero.",18,In this section,target,hedged,,,2050,,0.25,data/raw/bp/2024_sustainability_report.pdf,False,False
We have two net zero aims: for our operations and for the energy products we sell.,19,In this section,attribute,hedged,,,,own operations,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
As part of our strategy reset announced in February 2025 we have retired some of our previous aimsa and are focusing our net zero aims on the two areas that we believe are most relevant to our long-term success and to achieving our overall net zero ambition.,19,In this section,target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
These two areas are net zero operationsb and net zero sales.,19,In this section,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Net zero operations This aim now combines our previous operational emissions reduction aim and our methane reduction aim.,19,In this section,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our interim target is a 20% reduction in Scope 1 and 2 emissions by the end of 2025, against the 2019 baseline.",19,In this section,target,,20%,2019,2025,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Our methane intensity target remains 0.20% by the end of 2025.,19,In this section,target,,0.20%,,2025,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Net zero sales Our interim target is a 5% reduction by the end of 2025 for the average lifecycle carbon intensity of our sold energy products.,19,In this section,target,,5%,,2025,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
We have retired our previous aims on net zero production and on investment into transition.,19,In this section,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Consistency of our net zero ambition and aims with the Paris goals We believe our net zero ambition and aims, taken together, are consistent with the goals of the Paris Agreement.",19,In this section,target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our aim is to reach net zero by 2050 or sooner for Scope 1 and 2 emissions within bp’s operational control (on a CO2e basis), including by maintaining ‘near-zero’ methane intensity across our operated producing assets, enabled by supportive government policies.",19,Net zero operations,target,hedged,,,2050,Scope 1,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our aim is to reduce to net zero the average lifecycle carbon intensity of the energy products we sell by 2050 or sooner, enabled by supportive government policies and the decarbonization of energy demand.",19,Net zero sales,target,hedged,,,2050,,0.25,data/raw/bp/2024_sustainability_report.pdf,False,False
These emissions were 54.5MtCO2e in 2019c.,20,Our aim for net zero operations > Progress and targets/aims,other,,54.5MtCO2e,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
We are targeting a 20% reduction in our operational emissions by the end of 2025 and aiming for a 45-50% reduction by the end of 2030 against our 2019 baseline.,20,Our aim for net zero operations > Progress and targets/aims,target,hedged,20%,2019,2025,,0.75,data/raw/bp/2024_sustainability_report.pdf,False,False
Our net zero operations aim combines our previous Scope 1 and 2 aim and methane aim.,20,Our aim for net zero operations > Progress and targets/aims,attribute,hedged,,,,Scope 1,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our Scope 1 and Scope 2 emissions have already reduced by 38% in 2024 – more than our 2025 target of a 20% reduction, against our 2019 baseline.",20,Our aim for net zero operations > Progress and targets/aims,achievement,achievement,38%,2019,,Scope 1; Scope 2,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our methane intensity for 2024b was 0.07%, compared with 0.05% in 2023.",20,Our aim for net zero operations > Progress and targets/aims,other,,0.07%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
