year,metric,value,unit,scope,source,page
2025,scope_1_emissions,17039,tCO2e,gross,hm/2025_sustainability_report.pdf,41
2024,scope_1_emissions,17002,tCO2e,gross,hm/2025_sustainability_report.pdf,41
2023,scope_1_emissions,17050,tCO2e,gross,hm/2025_sustainability_report.pdf,41
2019,scope_1_emissions,22738,tCO2e,gross,hm/2025_sustainability_report.pdf,41
2025,scope_2_emissions_location_based,337786,tCO2e,"gross, location-based",hm/2025_sustainability_report.pdf,41
2024,scope_2_emissions_location_based,372984,tCO2e,"gross, location-based",hm/2025_sustainability_report.pdf,41
2023,scope_2_emissions_location_based,378730,tCO2e,"gross, location-based",hm/2025_sustainability_report.pdf,41
2019,scope_2_emissions_location_based,658763,tCO2e,"gross, location-based",hm/2025_sustainability_report.pdf,41
2025,scope_2_emissions_market_based,25131,tCO2e,"gross, market-based",hm/2025_sustainability_report.pdf,41
2024,scope_2_emissions_market_based,28492,tCO2e,"gross, market-based",hm/2025_sustainability_report.pdf,41
2023,scope_2_emissions_market_based,40554,tCO2e,"gross, market-based",hm/2025_sustainability_report.pdf,41
2019,scope_2_emissions_market_based,48735,tCO2e,"gross, market-based",hm/2025_sustainability_report.pdf,41
2025,scope_1_2_emissions,42170,tCO2e,scope 1 + scope 2; basis not stated in table,hm/2025_sustainability_report.pdf,41
2024,scope_1_2_emissions,45493,tCO2e,scope 1 + scope 2; basis not stated in table,hm/2025_sustainability_report.pdf,41
2023,scope_1_2_emissions,57604,tCO2e,scope 1 + scope 2; basis not stated in table,hm/2025_sustainability_report.pdf,41
2019,scope_1_2_emissions,71473,tCO2e,scope 1 + scope 2; basis not stated in table,hm/2025_sustainability_report.pdf,41
2025,scope_3_emissions_excl_use_phase,4865000,tCO2e,"excl. use-phase, science-based-target boundary",hm/2025_sustainability_report.pdf,41
2024,scope_3_emissions_excl_use_phase,5628000,tCO2e,"excl. use-phase, science-based-target boundary",hm/2025_sustainability_report.pdf,41
2023,scope_3_emissions_excl_use_phase,5438000,tCO2e,"excl. use-phase, science-based-target boundary",hm/2025_sustainability_report.pdf,41
2019,scope_3_emissions_excl_use_phase,7442000,tCO2e,"excl. use-phase, science-based-target boundary",hm/2025_sustainability_report.pdf,41
2025,scope_3_emissions_incl_use_phase,6813000,tCO2e,"gross indirect, incl. use-phase",hm/2025_sustainability_report.pdf,41
