sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"We contracted 1,443,981 metric tons of carbon removal in FY22.",2,Global sustainability,other,,"1,443,981 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"12,159 We diverted 12,159 metric tons of solid waste from landfills and incinerators across our direct operational footprint in FY22.",2,Global sustainability,other,,"12,159 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future.",4,"Enabling sustainability for our company, our customers, and the world",target,hedged,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",4,"Enabling sustainability for our company, our customers, and the world > Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and President",target,,"2020,",,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In 2022, our business grew by 18 percent and our overall emissions declined by 0.5 percent.",4,"Enabling sustainability for our company, our customers, and the world > Getting our own house in order",other,,18 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
This in part is a result of a reduction in our direct operational (Scope 1 and 2) emissions by 22.7 percent.,4,"Enabling sustainability for our company, our customers, and the world > Getting our own house in order",other,,22.7 percent,,,Scope 1,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"At Microsoft, Scope 1 and 2 emissions account for less than four percent of total emissions, while indirect emissions, or Scope 3, account for more than 96 percent.",4,"Enabling sustainability for our company, our customers, and the world > Getting our own house in order",other,,96 percent,,,Scope 1; Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Our Scope 3 reported emissions increased slightly in 2022, by 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth.",4,"Enabling sustainability for our company, our customers, and the world > Getting our own house in order",other,,0.5 percent,,,Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"The more positive outcomes in 2022 are the result of improvements in our operations, real-time device telemetry-based measurement, renewable energy investments, sustainable aviation fuel (SAF) purchases, and procurement of unbundled renewable energy certificates (RECs).",4,"Enabling sustainability for our company, our customers, and the world > Getting our own house in order",attribute,,,,,own operations,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"When we made our carbon negative commitment in 2020 it wasn’t just a challenge to support the sustainability of our business, it was also an invitation to the world to participate in this journey, translating ingenuity into action, and action into impact.",5,"Enabling sustainability for our company, our customers, and the world > Getting our own house in order",attribute,firm,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
