sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional,company,publish_year,report_assured,n_words,vague_ratio,hedging_ratio,future_ratio,quantification_present,baseline_present,date_present,scope_present,verification_present,sentiment,specificity_score,readability,passive_voice,modal_firm,modal_soft,positive_tone_words,highlights_json
Our 2021 Sustainability Report builds on our sustainability progress over the last decade—particularly since we cofounded The Climate Pledge in 2019 and announced our commitment to achieve net-zero carbon emissions across our business by 2040.,2,About This Report,target,firm,,,2040,,0.25,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,33,0.0,0.0,0.0806,False,False,True,False,False,0.0303,0.2,1.6,False,False,False,1,"[{""start"": 60, ""end"": 68, ""kind"": ""positive"", ""term"": ""progress""}, {""start"": 238, ""end"": 242, ""kind"": ""deadline"", ""term"": ""2040""}]"
"Customer reviews, 1-Click shopping, personalized recommendations, Prime, Fulfillment by Amazon, Amazon Web Services (AWS), Kindle Direct Publishing, Kindle, Career Choice, Fire tablets, Fire TV, Amazon Echo, Alexa, Just Walk Out technology, Amazon Studios, and The Climate Pledge are some of the things pioneered by Amazon.",2,About Amazon,target,firm,1,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,45,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,-0.5,False,False,False,0,"[{""start"": 18, ""end"": 19, ""kind"": ""qty"", ""term"": ""1""}]"
"In 2019, we co-founded The Climate Pledge and made a commitment to achieve net-zero carbon by 2040—10 years ahead of the Paris Agreement.",3,About Amazon > Delivering Progress for the Planet,target,firm,"2019,",2040,2040,,0.75,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,21,0.0,0.0,0.1152,True,True,True,False,False,0.0,0.6,48.5,False,False,False,0,"[{""start"": 3, ""end"": 8, ""kind"": ""qty"", ""term"": ""2019,""}, {""start"": 94, ""end"": 98, ""kind"": ""baseline"", ""term"": ""2040""}]"
"We invited others to join us and there are now more than 300 businesses and organizations across 51 industries and 29 countries that have signed the Pledge, which means we are collectively coming at the climate crisis from nearly every sector and nearly every angle.",3,About Amazon > Delivering Progress for the Planet,target,firm,300,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,42,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,21.2,False,False,False,0,"[{""start"": 57, ""end"": 60, ""kind"": ""qty"", ""term"": ""300""}]"
"As part of our efforts to decarbonize our business, we became the world’s largest corporate purchaser of renewable energy in 2020, and last year, we reached 85% renewable energy across our business.",3,About Amazon > Delivering Progress for the Planet,achievement,achievement,85%,,,,0.33,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,31,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,25.3,False,False,False,0,"[{""start"": 157, ""end"": 160, ""kind"": ""qty"", ""term"": ""85%""}]"
"We continue to expand our use of zero-emission transportation such as electric delivery vans, cargo bikes, and on-foot deliveries, and in 2021, more than 100 million packages were delivered to our customers’ doorsteps globally using zero-emission vehicles.",3,About Amazon > Delivering Progress for the Planet,achievement,achievement,100 million,,,global,0.67,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,35,0.0,0.0,0.0,True,False,False,True,False,0.0,0.4,-7.6,True,False,False,0,"[{""start"": 154, ""end"": 165, ""kind"": ""qty"", ""term"": ""100 million""}]"
"We are also investing in nature-based solutions, and last year, we helped to create the Lowering Emissions by Accelerating Forest finance (LEAF) Coalition—a global initiative of governments and leading companies that has already mobilized $1 billion to protect the world’s tropical rainforests.",3,About Amazon > Delivering Progress for the Planet,other,,1 billion,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,43,0.0233,0.0,0.0,True,False,False,False,False,0.0233,0.107,-4.0,False,False,False,1,"[{""start"": 194, ""end"": 201, ""kind"": ""vague"", ""term"": ""leading""}, {""start"": 240, ""end"": 249, ""kind"": ""qty"", ""term"": ""1 billion""}]"
We will continue to act boldly to address climate change and to invest in solutions to help meet our commitment to reach net-zero carbon across our operations by 2040.,3,About Amazon > Delivering Progress for the Planet,target,firm,,,2040,own operations,0.5,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,28,0.0,0.0,0.1271,False,False,True,True,False,0.0357,0.4,42.5,False,True,False,1,"[{""start"": 162, ""end"": 166, ""kind"": ""deadline"", ""term"": ""2040""}]"
"Announced our first renewable energy project in Singapore, a 62-megawatt (MW) solar project made up of a series of solar panels mounted on a ground system that will generate 80,000 MWh of clean energy annually.",5,Sustainability Around the Globe > South Africa,attribute,firm,"80,000 MWh",,,,0.5,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,34,0.0,0.0,0.0294,True,False,False,False,False,0.0,0.2,28.0,False,True,False,0,"[{""start"": 174, ""end"": 184, ""kind"": ""qty"", ""term"": ""80,000 MWh""}]"
"Once online, our renewable projects in Canada will produce more than 1 million megawatt-hours (MWh) each year.",5,Sustainability Around the Globe > South Africa,other,firm,1 million,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,16,0.0,0.0,0.0625,True,False,False,False,False,0.0,0.2,47.8,False,True,False,0,"[{""start"": 69, ""end"": 78, ""kind"": ""qty"", ""term"": ""1 million""}]"
"Launched our first operational solar project in South Africa, expected to generate up to 28,000 MWh of renewable energy per year for the grid.",5,Sustainability Around the Globe > South Africa,achievement,achievement,"28,000 MWh",,,,0.33,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,23,0.0,0.1304,0.0,True,False,False,False,True,0.0,0.1,36.4,False,False,False,0,"[{""start"": 62, ""end"": 70, ""kind"": ""hedge"", ""term"": ""expected""}, {""start"": 83, ""end"": 88, ""kind"": ""hedge"", ""term"": ""up to""}, {""start"": 89, ""end"": 99, ""kind"": ""qty"", ""term"": ""28,000 MWh""}]"
The Climate Pledge Over 300 signatories have joined Amazon in signing The Climate Pledge.,9,Environment Investing in Positive Impact > Reach net-zero carbon emissions across our operations by 2040,target,firm,300,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,13,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,44.0,False,False,False,0,"[{""start"": 24, ""end"": 27, ""kind"": ""qty"", ""term"": ""300""}]"
"Products In 2021, more than 370 million Climate Pledge Friendly units were shipped to Amazon customers and we welcomed 20 new third‑party sustainability certifications to the Climate Pledge Friendly program.",9,Environment Investing in Positive Impact > Reach net-zero carbon emissions across our operations by 2040,target,firm,370 million,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf,False,False,amazon,2021,True,28,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,18.3,True,False,False,0,"[{""start"": 28, ""end"": 39, ""kind"": ""qty"", ""term"": ""370 million""}]"
