sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"Our first annual sustainability report, released in January 2021, showed early progress on our commitments to become a carbon negative, water positive, zero waste company by 2030 and protect ecosystems by building a Planetary Computer.",4,metric tons of waste diverted from landfills 24 > Microsoft’s sustainability commitments: two years into our ten-year journey,target,,"2021,",,2030,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
"However, as our business has grown and we’ve seen increased use of our devices and cloud services, our total Scope 3 emissions (comprising the company’s entire value chain) have increased by about 23 percent year-over-year.",4,metric tons of waste diverted from landfills 24 > A closer look at 2021,other,,23 percent,,,Scope 3; value chain,1.0,data/raw/microsoft/2021_sustainability_report.pdf
The emissions associated with the capital equipment category accounted for about 30 percent of our Scope 3 total this year.,4,metric tons of waste diverted from landfills 24 > A closer look at 2021,other,,30 percent,,,Scope 3,1.0,data/raw/microsoft/2021_sustainability_report.pdf
This category accounted for about 29 percent of our Scope 3 total this year.,4,metric tons of waste diverted from landfills 24 > A closer look at 2021,other,,29 percent,,,Scope 3,1.0,data/raw/microsoft/2021_sustainability_report.pdf
"Nonetheless, the challenge remains: we must continuously improve on our efforts to decouple our emissions from our growth until we reach our carbon negative commitment in 2030.",4,metric tons of waste diverted from landfills 24 > The journey to net zero,attribute,firm,,,,,0.0,data/raw/microsoft/2021_sustainability_report.pdf
"Some of this will happen through the completion of specific goals such as our shift to a 100 percent electric campus vehicle fleet, our move away from diesel fuel as a backup energy source for our datacenters, and the carbon benefits of our waste reduction improvements due to our expanding fleet of Circular Centers.",4,metric tons of waste diverted from landfills 24 > The journey to net zero,other,firm,100 percent,,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
There are several external factors or bugs in the world’s net zero carbon program that if addressed will help us all make greater progress toward our net zero goals.,5,Foreword (continued),attribute,firm,,,,,0.0,data/raw/microsoft/2021_sustainability_report.pdf
"The world lacks a common meaning of the term net zero and a common unit of measurement for assessing the climate impact of various net zero approaches, and we must all focus on maturing the markets needed to achieve a net zero carbon economy by 2050.",5,Foreword (continued),target,firm,,2050,2050,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
You can only get to net zero when you’ve reduced all that you can and your remaining carbon emissions are completely balanced by long-term carbon removal.,5,Foreword (continued),attribute,achievement,,,,,0.0,data/raw/microsoft/2021_sustainability_report.pdf
"Last year, we made the world’s largest purchase of carbon removal at 1.4 million metric tons and in this fiscal year we are on track to top that by procuring 1.5 million metric tons.",5,Foreword (continued),other,,1.4 million,,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
"We are committed to becoming a carbon negative, water positive, zero waste company by 2030.",5,Foreword (continued) > From pledges to progress,target,firm,,,2030,,0.25,data/raw/microsoft/2021_sustainability_report.pdf
"With net zero becoming the new normal—more than 1,500 companies with total net revenue of $11.4 trillion have pledged that they will become carbon neutral or net zero—the world must move from climate pledges to climate progress.",5,Foreword (continued) > From pledges to progress,attribute,firm,"1,500",,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
"Allocated $471 million to date via our Climate Innovation Fund to accelerate our carbon goals, as well as water and waste.",6,Foreword (continued) > From pledges to progress,other,,471 million,,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
We also donated $100 million to Breakthrough Energy’s Catalyst initiative.,6,Foreword (continued) > From pledges to progress,other,,100 million,,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
"In FY21, we diverted more than 15,200 metric tons of solid waste otherwise headed to landfills and incinerators.",6,Circular Centers,other,,"15,200 metric tons",,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
"In July 2021, 87 percent of our in-scope suppliers reported their emissions to CDP, up 12 percent from 2020.",6,Circular Centers,other,,87 percent,2020,,,0.5,data/raw/microsoft/2021_sustainability_report.pdf
