sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional,company,publish_year,report_assured,n_words,vague_ratio,hedging_ratio,future_ratio,quantification_present,baseline_present,date_present,scope_present,verification_present,sentiment,specificity_score,readability,passive_voice,modal_firm,modal_soft,positive_tone_words,highlights_json
"The GHG reporting scope encompasses 100% of global consolidated operations and the associated full upstream and downstream value chain (Scope 3), consistent with the requirements of the GHG Protocol Corporate Accounting and Reporting Standard.",2,Reporting Boundary and Scope,other,,100%,,,Scope 3; value chain; upstream; downstream,1.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,32,0.0,0.0,0.0,True,False,False,True,True,0.0,0.6,2.5,False,False,False,0,"[{""start"": 36, ""end"": 40, ""kind"": ""qty"", ""term"": ""100%""}, {""start"": 186, ""end"": 198, ""kind"": ""verify"", ""term"": ""GHG Protocol""}]"
"One of Patagonia’s strategic commitments is to reach Net Zero emissions by 2040, which is 10 years earlier than the Science-Based Targets Initiative (SBTi) requires.",2,Reporting Boundary and Scope,target,,"2040,",,2040,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,24,0.0,0.0,0.145,True,False,True,False,True,0.0,0.6,27.4,False,False,False,0,"[{""start"": 75, ""end"": 80, ""kind"": ""qty"", ""term"": ""2040,""}, {""start"": 116, ""end"": 137, ""kind"": ""verify"", ""term"": ""Science-Based Targets""}, {""start"": 150, ""end"": 154, ""kind"": ""verify"", ""term"": ""SBTi""}]"
"Disclaimer on Forward-Looking Statements This report contains forward-looking statements and estimates regarding future performance, climate risks, and targets (e.g., Net-Zero 2040 commitment, potential climate impacts).",2,Reporting Boundary and Scope,attribute,firm,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,25,0.0,0.04,0.12,False,False,False,False,False,-0.08,0.0,5.5,False,False,False,0,"[{""start"": 141, ""end"": 146, ""kind"": ""negative"", ""term"": ""risks""}]"
"The climate risk assessment systematically evaluated physical and transition risks across each scenario to test the resilience of Patagonia’s business strategy across a range of plausible global transition pathways, from rapid decarbonization consistent with the ambition of the Paris Agreement’s 1.5°C to a business-as-usual, high emissions trajectory.",4,Identified climate-related risks and opportunities,target,hedged,1.5,,,,0.25,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,49,0.0,0.0,0.0204,True,False,False,False,False,-0.0612,0.2,0.7,False,False,False,0,"[{""start"": 12, ""end"": 16, ""kind"": ""negative"", ""term"": ""risk""}, {""start"": 77, ""end"": 82, ""kind"": ""negative"", ""term"": ""risks""}, {""start"": 297, ""end"": 300, ""kind"": ""qty"", ""term"": ""1.5""}]"
Product innovation to meet anticipated regulatory requirements for recycled inputs and circularity.,5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,12,0.0,0.0833,0.0,False,False,False,False,False,0.0,0.0,-45.0,False,False,False,0,[]
Market Increased consumer and retailer demand for durable products that use recycled inputs and other preferred materials and are built for repair and recycling.,5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,24,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,23.9,False,False,False,0,[]
"Price volatility or supply constraints of key material inputs, including preferred versions (i.e. recycled synthetics vs virgin synthetics).",5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,19,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,22.3,False,False,False,0,[]
Increased consumer and retailer demand for durable products that use recycled inputs and are built for repair and recycling to align with consumer and regulatory demand.,5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,26,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,21.0,False,False,False,0,[]
"As detailed above, in 2025, Patagonia also completed its first formal climate risk scenario analysis.",7,Risk Management > Risk identification and assessment approach,achievement,achievement,"2025,",,,,0.33,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,14,0.0,0.0,0.0,True,False,False,False,False,-0.0714,0.2,11.3,False,False,False,0,"[{""start"": 22, ""end"": 27, ""kind"": ""qty"", ""term"": ""2025,""}, {""start"": 78, ""end"": 82, ""kind"": ""negative"", ""term"": ""risk""}]"
"For FY25, they made up less than 1% of total emissions.",8,Metrics and Targets > Climate-related metrics aligned with strategy and risk management process,other,,1%,,,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,10,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,86.7,False,False,False,0,"[{""start"": 33, ""end"": 35, ""kind"": ""qty"", ""term"": ""1%""}]"
Scope 3 emissions account for nearly 99% of Patagonia’s annual GHG emissions.,8,Metrics and Targets > Climate-related metrics aligned with strategy and risk management process,other,,99%,,,Scope 3,1.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,11,0.0,0.0,0.0,True,False,False,True,False,0.0,0.4,34.2,False,False,False,0,"[{""start"": 37, ""end"": 40, ""kind"": ""qty"", ""term"": ""99%""}]"
"Within Scope 3, on average 86% of Patagonia’s emissions come from the manufacturing of textiles, including the origin of the textile raw material, processing and spinning of the fiber (yarn formation), fabric formation, and preparing, dyeing and finishing the fabric.",8,Metrics and Targets > Climate-related metrics aligned with strategy and risk management process,other,,86%,,,Scope 3,1.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,39,0.0,0.0,0.0,True,False,False,True,False,0.0,0.4,6.7,False,False,False,0,"[{""start"": 27, ""end"": 30, ""kind"": ""qty"", ""term"": ""86%""}]"
"In 2021, Patagonia aligned its greenhouse gas emission reduction targets with the Science Based Targets Initiative (SBTi), setting the ambition to reach Net Zero, as defined by SBTi, by 2040.",9,Climate targets and performance,target,hedged,"2021,",,2040,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,28,0.0,0.0,0.1629,True,False,True,False,True,0.0,0.6,27.3,False,False,False,0,"[{""start"": 3, ""end"": 8, ""kind"": ""qty"", ""term"": ""2021,""}, {""start"": 82, ""end"": 103, ""kind"": ""verify"", ""term"": ""Science Based Targets""}, {""start"": 116, ""end"": 120, ""kind"": ""verify"", ""term"": ""SBTi""}, {""start"": 177, ""end"": 181, ""kind"": ""verify"", ""term"": ""SBTi""}, {""start"": 186, ""end"": 190, ""kind"": ""deadline"", ""term"": ""2040""}]"
FY2030 – Near Term Target Ambition • Patagonia Works commits to reduce absolute scope 1 and 2 GHG emissions 80% by FY2030 from a FY2017 base year.,9,Climate targets and performance,target,hedged,80%,2017,,Scope 1,0.75,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,22,0.0,0.0,0.1364,True,True,False,True,False,0.0,0.6,53.8,False,False,False,0,"[{""start"": 108, ""end"": 111, ""kind"": ""qty"", ""term"": ""80%""}, {""start"": 131, ""end"": 135, ""kind"": ""baseline"", ""term"": ""2017""}]"
"FY20240 – Long-Term Target Ambition • Patagonia Works commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by FY2040 from a FY2017 base year.",9,Climate targets and performance,target,hedged,90%,2017,,Scope 1,0.75,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,21,0.0,0.0,0.1429,True,True,False,True,False,0.0,0.6,48.5,False,False,False,0,"[{""start"": 113, ""end"": 116, ""kind"": ""qty"", ""term"": ""90%""}, {""start"": 136, ""end"": 140, ""kind"": ""baseline"", ""term"": ""2017""}]"
Patagonia has also committed to achieve 100% renewable electricity adoption for its global operations.,10,Climate targets and performance,other,firm,100%,,,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False,patagonia,2025,False,13,0.0,0.0,0.0769,True,False,False,False,False,0.0769,0.2,-14.6,False,False,False,1,"[{""start"": 19, ""end"": 28, ""kind"": ""positive"", ""term"": ""committed""}, {""start"": 40, ""end"": 44, ""kind"": ""qty"", ""term"": ""100%""}]"
