year,metric,value,unit,scope,source,page
2019,scope_1_emissions,5.76,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2020,scope_1_emissions,9.62,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2021,scope_1_emissions,12.11,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2022,scope_1_emissions,13.02,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2023,scope_1_emissions,14.22,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2024,scope_1_emissions,15.13,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2025,scope_1_emissions,15.37,MMT CO2e,direct operations,amazon/2025_sustainability_report.pdf,46
2019,scope_2_emissions_market_based,5.50,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2020,scope_2_emissions_market_based,5.27,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2021,scope_2_emissions_market_based,4.07,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2022,scope_2_emissions_market_based,3.06,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2023,scope_2_emissions_market_based,2.76,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2024,scope_2_emissions_market_based,2.80,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2025,scope_2_emissions_market_based,3.74,MMT CO2e,purchased electricity; market-based,amazon/2025_sustainability_report.pdf,46
2019,scope_3_emissions,39.91,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2020,scope_3_emissions,45.75,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2021,scope_3_emissions,55.36,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2022,scope_3_emissions,49.29,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2023,scope_3_emissions,48.30,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2024,scope_3_emissions,51.62,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2025,scope_3_emissions,61.74,MMT CO2e,indirect sources; market-based,amazon/2025_sustainability_report.pdf,46
2019,total_emissions,51.17,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2020,total_emissions,60.64,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2021,total_emissions,71.54,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2022,total_emissions,65.37,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2023,total_emissions,65.28,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2024,total_emissions,69.55,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2025,total_emissions,80.85,MMT CO2e,total carbon footprint,amazon/2025_sustainability_report.pdf,46
2019,carbon_intensity_per_revenue,182.4,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2020,carbon_intensity_per_revenue,157.1,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2021,carbon_intensity_per_revenue,152.3,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2022,carbon_intensity_per_revenue,127.2,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2023,carbon_intensity_per_revenue,113.6,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2024,carbon_intensity_per_revenue,109.0,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2025,carbon_intensity_per_revenue,112.8,g CO2e per $ of revenue,denominator changed to revenue in 2025 report,amazon/2025_sustainability_report.pdf,46
2019,scope_1_emissions,5.76,MMT CO2e,direct operations,amazon/2024_sustainability_report.pdf,50
2020,scope_1_emissions,9.62,MMT CO2e,direct operations,amazon/2024_sustainability_report.pdf,50
2021,scope_1_emissions,12.11,MMT CO2e,direct operations,amazon/2024_sustainability_report.pdf,50
2022,scope_1_emissions,13.02,MMT CO2e,direct operations,amazon/2024_sustainability_report.pdf,50
