sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"Currently 89 percent of the materials we use are recycled or sustainably sourced, with a goal of 100 percent by 20301.",4,Financial information,target,,89 percent,,2030,,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"We are also a member of Fashion Pact, an initiative that aims to speed up progress towards a net zero future for the fashion industry.",6,"Connecting fashion, music and culture",attribute,hedged,,,,,0.0,data/raw/hm/2024_sustainability_report.pdf,False,False
"Raising the bar with recycled material ambition As we are moving closer to achieving the target of 30 percent recycled materials by 2025, the ambition is to now aim for using 50 percent recycled by 2030.",6,"Connecting fashion, music and culture",target,hedged,30 percent,,2025,,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
We are committed to inspiring ­people to express themselves by offering a wide assortment of sustainable fashion with great value for money in an inspiring shopping environment.,7,Building a foundation for continued profitable and sustainable growth,attribute,firm,,,,,0.0,data/raw/hm/2024_sustainability_report.pdf,False,False
"By investing in and streamlining our brands and supply chain, paired with maintained cost control, our cash flow from operating activities amounted to SEK 32 billion and an improved operating margin, although we didn’t reach our ambition of 10 percent.",7,Building a foundation for continued profitable and sustainable growth,target,hedged,32 billion,,,supply chain,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"These investments complement our customer offering and include new business models, direct-to-consumer brands and new recycled materials.",7,Building a foundation for continued profitable and sustainable growth,attribute,,,,,,0.0,data/raw/hm/2024_sustainability_report.pdf,False,False
"We have identified four areas where we have the greatest potential: Decarbonising our supply chain, shifting towards recycled or sustainably sourced materials, optimising production to match demand and scaling circular business models to keep materials in use and extend product life.",8,Creating fashion that excites,attribute,,,,,supply chain,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"In 2024, our scope 3 greenhouse gas emissions decreased by 24 percent compared to our 2019 baseline.",8,Creating fashion that excites,other,,24 percent,2019,,Scope 3,1.0,data/raw/hm/2024_sustainability_report.pdf,False,False
This sets us up well to reach our long-term goal of reducing greenhouse gas emissions by 56 percent by 2030.,8,Creating fashion that excites,target,,56 percent,,2030,,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"Currently, 85 percent of the materials we use are recycled or sustainably sourced, and we aim to make that 100 percent by 2030.",8,Creating fashion that excites,target,hedged,85 percent,,2030,,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"We believe fashion should be accessible to everyone and that our products should be made in a responsible way, and designed to be used, re­used and recycled.",10,Our ­ business > Our integrated sustainability focus,attribute,hedged,,,,,0.0,data/raw/hm/2024_sustainability_report.pdf,False,False
"Therefore, we focus on optimising our production and resource use, decarbonising our value chain, shifting to recycled and sustainably sourced materials, and scaling circular business models while respecting human rights.",10,Our ­ business > Our integrated sustainability focus,attribute,,,,,value chain,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"Ambitious long-term targets We have three ambitious long-term targets: ­long-term sales growth of at least 10 percent per year, an operating margin that exceeds 10 percent and a 56 ­percent reduction in greenhouse gas (GHG) emissions no later than 2030, with 2019 as a baseline2.",10,Shared operational enablers – foundations for success,target,,10 percent,,2030,,0.5,data/raw/hm/2024_sustainability_report.pdf,False,False
"Key initiatives Circular design principles Our design process prioritises responsibly sourced, durable materials and methods, supporting repair, reuse and recycling, all aimed at prolonging product lifespan and minimising negative environmental impact.",14,Customer in focus,attribute,,,,,,0.0,data/raw/hm/2024_sustainability_report.pdf,False,False
