sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"The GHG reporting scope encompasses 100% of global consolidated operations and the associated full upstream and downstream value chain (Scope 3), consistent with the requirements of the GHG Protocol Corporate Accounting and Reporting Standard.",2,Reporting Boundary and Scope,other,,100%,,,Scope 3; value chain; upstream; downstream,1.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"One of Patagonia’s strategic commitments is to reach Net Zero emissions by 2040, which is 10 years earlier than the Science-Based Targets Initiative (SBTi) requires.",2,Reporting Boundary and Scope,target,,"2040,",,2040,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"Disclaimer on Forward-Looking Statements This report contains forward-looking statements and estimates regarding future performance, climate risks, and targets (e.g., Net-Zero 2040 commitment, potential climate impacts).",2,Reporting Boundary and Scope,attribute,firm,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"The climate risk assessment systematically evaluated physical and transition risks across each scenario to test the resilience of Patagonia’s business strategy across a range of plausible global transition pathways, from rapid decarbonization consistent with the ambition of the Paris Agreement’s 1.5°C to a business-as-usual, high emissions trajectory.",4,Identified climate-related risks and opportunities,target,hedged,1.5,,,,0.25,data/raw/patagonia/2025_sustainability_report.pdf,False,False
Product innovation to meet anticipated regulatory requirements for recycled inputs and circularity.,5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
Market Increased consumer and retailer demand for durable products that use recycled inputs and other preferred materials and are built for repair and recycling.,5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"Price volatility or supply constraints of key material inputs, including preferred versions (i.e. recycled synthetics vs virgin synthetics).",5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
Increased consumer and retailer demand for durable products that use recycled inputs and are built for repair and recycling to align with consumer and regulatory demand.,5,Table: Transition Risks and Identified Key Risks and Opportunities,attribute,,,,,,0.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"As detailed above, in 2025, Patagonia also completed its first formal climate risk scenario analysis.",7,Risk Management > Risk identification and assessment approach,achievement,achievement,"2025,",,,,0.33,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"For FY25, they made up less than 1% of total emissions.",8,Metrics and Targets > Climate-related metrics aligned with strategy and risk management process,other,,1%,,,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False
Scope 3 emissions account for nearly 99% of Patagonia’s annual GHG emissions.,8,Metrics and Targets > Climate-related metrics aligned with strategy and risk management process,other,,99%,,,Scope 3,1.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"Within Scope 3, on average 86% of Patagonia’s emissions come from the manufacturing of textiles, including the origin of the textile raw material, processing and spinning of the fiber (yarn formation), fabric formation, and preparing, dyeing and finishing the fabric.",8,Metrics and Targets > Climate-related metrics aligned with strategy and risk management process,other,,86%,,,Scope 3,1.0,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"In 2021, Patagonia aligned its greenhouse gas emission reduction targets with the Science Based Targets Initiative (SBTi), setting the ambition to reach Net Zero, as defined by SBTi, by 2040.",9,Climate targets and performance,target,hedged,"2021,",,2040,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False
FY2030 – Near Term Target Ambition • Patagonia Works commits to reduce absolute scope 1 and 2 GHG emissions 80% by FY2030 from a FY2017 base year.,9,Climate targets and performance,target,hedged,80%,2017,,Scope 1,0.75,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"FY20240 – Long-Term Target Ambition • Patagonia Works commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by FY2040 from a FY2017 base year.",9,Climate targets and performance,target,hedged,90%,2017,,Scope 1,0.75,data/raw/patagonia/2025_sustainability_report.pdf,False,False
Patagonia has also committed to achieve 100% renewable electricity adoption for its global operations.,10,Climate targets and performance,other,firm,100%,,,,0.5,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"While this target isn't validated by SBTi, progress towards this goal will help Patagonia accomplish its 2030 Scope 1 and 2 target.",10,Climate targets and performance,target,firm,,,,Scope 1,0.25,data/raw/patagonia/2025_sustainability_report.pdf,False,False
"As of FY24, Patagonia has achieved 98% renewable electricity adoption across its global operations and maintained this level of adoption in FY25.",10,Climate targets and performance,achievement,achievement,98%,,,,0.33,data/raw/patagonia/2025_sustainability_report.pdf,False,False
