sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional,company,publish_year,report_assured,n_words,vague_ratio,hedging_ratio,future_ratio,quantification_present,baseline_present,date_present,scope_present,verification_present,sentiment,specificity_score,readability,passive_voice,modal_firm,modal_soft,positive_tone_words,highlights_json
"While we work towards that, our methane intensity has come down by more than 40% since 2019 (from 0.12 to 0.07%).",3,Reimagining energy for people and our planet > Leaning into greening,other,hedged,40%,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,17,0.0,0.0,0.0,True,False,False,False,False,0.0,0.2,91.6,False,False,False,0,"[{""start"": 77, ""end"": 80, ""kind"": ""qty"", ""term"": ""40%""}]"
We have also increased our net zero aims.,3,Reimagining energy for people and our planet > Focused on delivery,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,8,0.0,0.0,0.125,False,False,False,False,False,0.0,0.0,71.8,False,False,False,0,[]
"On aim 1, we are now aiming to cut our operational emissions in half by 2030 (up from 30-35%).",3,Reimagining energy for people and our planet > Focused on delivery,target,hedged,35%,,2030,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,16,0.0,0.0,0.2075,True,False,True,False,False,0.0,0.4,69.0,False,False,False,0,"[{""start"": 72, ""end"": 76, ""kind"": ""deadline"", ""term"": ""2030""}, {""start"": 89, ""end"": 92, ""kind"": ""qty"", ""term"": ""35%""}]"
"And on aim 3 (covering the lifecycle emissions for the energy products we sell) we now aim to reduce carbon intensity to net zero by 2050 or sooner – up from 50% – and have increased the volume of emissions covered by this aim, which now includes physically traded sales of energy products.",3,Reimagining energy for people and our planet > Focused on delivery,target,hedged,50%,,2050,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,48,0.0,0.0,0.1033,True,False,True,False,False,0.0,0.4,15.4,False,False,False,0,"[{""start"": 133, ""end"": 137, ""kind"": ""deadline"", ""term"": ""2050""}, {""start"": 158, ""end"": 161, ""kind"": ""qty"", ""term"": ""50%""}]"
"Uniquely among our peers, we are aiming to be net zero across operations, production and sales.",3,Reimagining energy for people and our planet > Focused on delivery,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,16,0.0,0.0,0.0625,False,False,False,False,False,0.0,0.0,37.3,False,False,False,0,[]
"It means that by doubling down on five transition growth engines where we have real strengths – bioenergy, convenience, EV charging, renewables and hydrogen – we can grow as a company and at the same time advance towards our aim of net zero on the products we sell (aim 3).",3,Reimagining energy for people and our planet > Diversifying and decarbonizing,attribute,hedged,3,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,47,0.0,0.0,0.0426,True,False,False,False,False,0.0213,0.2,36.7,False,False,False,1,"[{""start"": 205, ""end"": 212, ""kind"": ""positive"", ""term"": ""advance""}, {""start"": 270, ""end"": 271, ""kind"": ""qty"", ""term"": ""3""}]"
"Against this backdrop, and as we have seen the world’s low carbon ambitions gather momentum, we have been in action across the three focus areas – net zero, people and planet.",4,Rooting our new strategy in sustainability > Sustainability in action,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,31,0.0,0.0,0.0645,False,False,False,False,False,0.0,0.0,52.6,False,False,False,0,[]
Perhaps the clearest example is Net Zero Teesside and the related projects that bp is leading in the NorthEast of England.,4,Rooting our new strategy in sustainability > Interconnected aims,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,21,0.0476,0.0,0.0,False,False,False,False,False,0.0476,0.0,56.6,False,False,False,1,"[{""start"": 86, ""end"": 93, ""kind"": ""vague"", ""term"": ""leading""}]"
"We are working to develop firstof-a-kind gas-fired power generation with carbon capture, blue and green hydrogen, and further carbon capture capacity for storing emissions from UK industries.",4,Rooting our new strategy in sustainability > Interconnected aims,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,27,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,10.2,False,False,False,0,[]
"Another is by maintaining our focus on keeping energy flowing today while transforming bp to sustainably deliver more and more of the reliable, affordable, clean energy the world wants and needs into the future.",4,Embedding sustainability into the way we do business > Putting sustainability at the core of bp,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,34,0.0,0.0,0.0294,False,False,False,False,False,0.0,0.0,28.0,False,False,False,0,[]
"In 2020, we set out our net zero ambition and a new strategy to become an integrated energy company.",6,Our strategy: from IOC to IEC,target,hedged,"2020,",,,,0.25,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,18,0.0,0.0,0.0556,True,False,False,False,False,0.0,0.2,42.9,False,False,False,0,"[{""start"": 3, ""end"": 8, ""kind"": ""qty"", ""term"": ""2020,""}]"
"Embedded across our strategy is our sustainability frame, which sets out our aims for getting to net zero, improving people’s lives and caring for our planet.",6,Low carbon energy > – Renewables – Hydrogen,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,27,0.0,0.0,0.0741,False,False,False,False,False,0.0,0.0,41.6,False,False,False,0,[]
"Sustainability at bp is about creating value by connecting the business opportunities of the energy transition with our aims and objectives for people, our planet and getting to net zero.",7,Low carbon energy > Our aims and objectives,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,30,0.0,0.0333,0.0667,False,False,False,False,False,0.0,0.0,18.5,False,False,False,0,"[{""start"": 24, ""end"": 29, ""kind"": ""hedge"", ""term"": ""about""}]"
1 Net zero operations 2 Net zero production 3 Net zero sales 4 Reducing methane 5 More investment for new energies Be net zero across our entire operations on an absolute basis by 2050 or sooner.,8,Our sustainability aims > Five aims to get bp to net zero,target,,1,,2050,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,30,0.0,0.0,0.0533,True,False,True,False,False,0.0,0.4,18.5,False,False,False,0,"[{""start"": 0, ""end"": 1, ""kind"": ""qty"", ""term"": ""1""}, {""start"": 183, ""end"": 187, ""kind"": ""deadline"", ""term"": ""2050""}]"
Be net zero on an absolute basis across the carbon in our upstream oil and gas production by 2050 or sooner.,8,Our sustainability aims > Five aims to get bp to net zero,target,,,2050,2050,upstream,0.75,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,20,0.0,0.0,0.07,False,True,True,True,False,0.0,0.6,59.6,False,False,False,0,"[{""start"": 93, ""end"": 97, ""kind"": ""baseline"", ""term"": ""2050""}]"
Reduce to net zero the carbon intensity of the energy products we sell by 2050 or sooner.,8,Our sustainability aims > Five aims to get bp to net zero,target,,,,2050,,0.25,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,16,0.0,0.0,0.0825,False,False,True,False,False,0.0,0.2,53.1,False,False,False,0,"[{""start"": 74, ""end"": 78, ""kind"": ""deadline"", ""term"": ""2050""}]"
"Install methane measurement at all our existing major oil and gas processing sites by 2023, publish the data, and then drive a 50% reduction in methane intensity of our operations.",8,Our sustainability aims > Five aims to get bp to net zero,target,,50%,,2023,own operations,0.75,data/raw/bp/2021_sustainability_report.pdf,False,False,bp,2021,True,28,0.0,0.0,0.02,True,False,True,True,False,0.0,0.6,27.3,False,False,False,0,"[{""start"": 86, ""end"": 90, ""kind"": ""deadline"", ""term"": ""2023""}, {""start"": 127, ""end"": 130, ""kind"": ""qty"", ""term"": ""50%""}]"
